# ----------------------------------------
# All Web Site Data
# Pages
# 20220111-20220209
# ----------------------------------------

Page,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Page Value
/collections/products/products/kidney-liver-detox,90,78,00:03:26,9,44.44%,26.67%,$2.00
/pages/4-bonus-benefits-of-iodine,66,63,00:01:30,63,87.50%,87.88%,$0.00
/collections/all-products/products/microbe-formulas™-bioactive-carbon-plus-systemic-biotoxin,58,46,00:02:00,35,37.14%,44.83%,$4.52
/challenge,57,43,00:00:17,1,100.00%,10.53%,$12.26
/pages/6-herbs-to-enhance-kidney-and-liver-function,55,49,00:00:16,49,91.84%,87.27%,$0.00
/collections/all-products/products/tudca-plus,51,42,00:03:42,38,50.00%,49.02%,$3.14
/blogs/microbe-formulas/10-important-benefits-of-fulvic-acid,49,43,00:01:42,42,83.33%,81.63%,$0.00
/blogs/viral-interviews/fulvic-and-humic-acid-for-viruses-and-retroviruses,47,32,00:11:05,32,65.62%,63.83%,$0.00
/collections/all-products/products/lymphatic-detox,39,28,00:00:34,26,65.38%,56.41%,$0.00
/,29,25,00:00:05,25,66.67%,82.76%,$0.00
,"1,218","1,033",00:02:58,695,66.52%,51.81%,$2.80

Day Index,Pageviews
1/11/22,34
1/12/22,26
1/13/22,36
1/14/22,47
1/15/22,31
1/16/22,40
1/17/22,50
1/18/22,37
1/19/22,64
1/20/22,53
1/21/22,43
1/22/22,47
1/23/22,38
1/24/22,56
1/25/22,64
1/26/22,50
1/27/22,33
1/28/22,28
1/29/22,46
1/30/22,25
1/31/22,41
2/1/22,54
2/2/22,47
2/3/22,38
2/4/22,25
2/5/22,29
2/6/22,33
2/7/22,35
2/8/22,33
2/9/22,35
,"1,218"
