Day Index,Experiment Sessions (Original),Experiment Transactions (Original),Experiment Sessions (V1 - Carousel),Experiment Transactions (V1 - Carousel),Experiment Sessions (V2 - On Touch),Experiment Transactions (V2 - On Touch)
"Jan 4, 2023","4,470",54,"3,289",52,"4,562",51
"Jan 5, 2023","6,599",95,"5,073",106,"6,566",100
"Jan 6, 2023","5,643",84,"4,594",82,"6,186",90
"Jan 7, 2023","8,523",112,"6,447",93,"8,729",108
"Jan 8, 2023","8,960",105,"6,830",116,"9,259",127
"Jan 9, 2023","5,728",75,"4,538",69,"5,850",61
"Jan 10, 2023","6,434",74,"5,318",62,"6,628",94
"Jan 11, 2023","5,703",75,"4,053",55,"5,240",74
"Jan 12, 2023","7,156",92,"5,669",92,"7,181",78
"Jan 13, 2023",697,10,511,11,595,11
