content,product_id,product_name,title,name,verified_buyer,votes_up
Little bit of a aftertaste,4732625846323,French Vanilla Super Coffee,Little bit of a aftertaste,Michael C.,true,20
Love this coffee! Love new French vanilla. Love the taste and no sugar!!!,4732625846323,French Vanilla Super Coffee,Super coffer,Susan R.,true,4
Love it,4732625846323,French Vanilla Super Coffee,Love it,Jason H.,true,3
haven&#x27;t had the creamer yet (still have hazelnut left from last shipment) but the mocha cans are fantastic!!!,4721423056947,Plant-Based Power-Up,yum,Lisa K.,true,0
I love the product but your delivery leaves a lot to be desired. The last two packages delivered to my house have had creamer. When delivered the creamer is leaking all over my porch and unusable.,4721423056947,Plant-Based Power-Up,Love the product,Bonnie H.,true,0
"THANK YOU for making an amazing product that tastes incredible and gives me more focused, healthy energy than ever before!",4700383739955,Super Coffee Ground Variety Pack,BEST GROUND COFFEE EVER!!!!,Jordan C.,true,1
Nothing to write home about. Slightly metallic taste that only gets worse when you add the creamer.,4700383739955,Super Coffee Ground Variety Pack,Average at Best,Meghan K.,true,1
Great flavor,4700383739955,Super Coffee Ground Variety Pack,Great flavor,Kalia F.,true,1
"I love Super Coffee&#x27;s Cold Brew Bold and Smooth. I have tried it with their Sweet Sweet Creamer and recently their Pumpkin Creamer. It&#x27;s the best Cold Brew I have had. I love the smooth but bold flavor. I add ice to my cup, pour the cold brew over the ice. Then I add the creamer and mix it in. I find if you let it sit for a few minutes and them stir. The flavor is so rich. I definitely highly recommend it!",4721424826419,Iced Perfecta,The Best Cold Brew Ever!,Shannon S.,true,0
"This was such a great addition to my morning!!! I love the tastes and to think there are nutrition benefits also! Wow!
I’m hooked!!! Thank you!",4721423253555,Power Couple,Amazing!!!,Barbara O.,true,1
Taste is very good…most important to us is that it’s healthier.,4721423253555,Power Couple,Love it.,Linda G.,true,0
The super coffee grounds and the creamer is great!,4721423253555,Power Couple,Love it,April F.,true,0
Flavor is very good,4721424629811,Plant-Based & Chill,GREAT PAIRING,tia p.,true,0
"Nothing beats the sweet cream flavor! Smooth, creamy, and delicious!",4732626075699,Sweet Cream Super Coffee,My favorite!,Ashley K.,true,3
"This is just the best!! It’s so creamy, sweet but not too sweet, and gets my energy levels pumping! Keep doing your thing Super coffee Team!",4732626075699,Sweet Cream Super Coffee,Tastebuds prepare to explode,Nicole R.,true,3
This is my ALL time favorite product and flavor! Of course it’s sold out lol wish I had bought more now! Can’t wait to get it again and now I have to hide my last few cans from myself lol!! Props Super Coffee!!,4732626075699,Sweet Cream Super Coffee,Oh no sold out!,Christy B.,true,3
The dark roast pod with the sweet cream creamer is my favorite combination. Right now it is my go-to morning coffee.,4721423712307,Pods ‘n’ Cream,Perfect Combination,Wendy N.,true,0
Seriously... couldn&#x27;t get enough coffee before... now addicted to the k-cups. When will my love for Super Coffee end?! Never. The answer is never.,4721423712307,Pods ‘n’ Cream,Another &quot;must have&quot;,Jennifer W.,true,0
It’s really good,4721423712307,Pods ‘n’ Cream,It’s really good,Kathy W.,true,0
LOVE LOVE LOVE!,4721424007219,Variety Brews,Super coffee,Marguerite M.,true,2
"Love, love, love",4721424007219,Variety Brews,Always delicious,Kara C.,true,2
"I have completely quit crappy coffee like Starbucks, Dunkin Donuts and Panera. When I try and drink it now it tastes gross and leaves me feeling like crap.",4721424007219,Variety Brews,I am obsessed with this coffee,Danielle G.,true,2
Great,6595000565811,Go Hazelnutz,Great,Pat C.,true,0
The creamer wasn’t as thick creamy like the regular hazelnut (prefer).,6568636579891,Toasted Hazelnut Super Creamer,Not as creamy like regular (non plant-based),Catalina K.,true,0
Love the rich taste it adds to my coffee,6568636579891,Toasted Hazelnut Super Creamer,Love the rich taste it,Stacey G.,true,0
"Fantastic company and products! I look forward to my morning coffee. Hazelnut is my favorite but all the flavors are delicious, grateful for a plant based non- sugar bomb creamer.",6568636579891,Toasted Hazelnut Super Creamer,Fantastic company and products! I,Mary S.,true,0
"I love having a coffee after my morning walks. Vanilla is creamy with rich flavor, and mocha never disappoints! Just right!",4721377116211,Coffee Hall of Fame,I love having a coffee,Valerie R.,true,3
"Great, healthy choice to start my morning.",4721377116211,Coffee Hall of Fame,Love it,Teresa B.,true,3
"Super Coffee has to be the best flavored, energy packed coffee on the market. I used to have a Starbucks with espresso problem, and a daily Cafe Bustello/espresso coffee. But all are so heavy! Super Coffee is the best of all things COFFEE with a punch. Tastes amazing, energy boosts without jitters, and light on the stomach so you don&#x27;t feel overly full and weighed down. I could go on and ON!!! I&#x27;m so glad I found Super Coffee and have shared with all of my special diet friends from Gluten-free to Vegan and they are also impressed!!!!",4721377116211,Coffee Hall of Fame,New coffee addiction,Deanna W.,true,2
"Blueberry Latte caused me to lose sleep last night, not because I drank it too late in the day yesterday but because I was so excited to try it this morning. Wow! Blueberry Latte exceeded my expectations. With the sharp crack of the plastic as I twisted open the cap my mouth started to water. As I peeled off the aluminum seal of freshness my nose detected a faint smell of blueberries in the air and my excitement elevated. I lifted the bottle to my lips and the smooth and creamy coffee poured into my mouth coating my tastebuds with a sweet nectar they had never tasted before but immediately knew they couldn’t get enough. The taste profile of the blueberry latte is perfectly balanced between coffee and blueberry that is strong enough to enjoy but is in no was too much. It blows my mind that this flavor profile is created with ZERO sugar! It’s the perfect drink.",6542291796019,Blueberry Muffin Super Coffee,Blue my mind berry,Kevin S.,true,66
The most refreshing bottled coffee ever. It’s perfect for summer. I’m FEELING IT. Thank you Super Fam!,6542291796019,Blueberry Muffin Super Coffee,Beyond incredible!!,Ben K.,true,20
I love the Blueberry Latte but won&#x27;t be ordering again. I feel they charge too much money. I can buy super coffee in my local grocery store for 2.00 each when on sale. Also when I ordered the blueberry an offer showed up for super creamer for 7.99. Knowing they sell the creamer in a 3 pack I was under the impression I was getting a 3-pack for a special price. Who in their right mind would pay 7.99 for a container of cream? Apparently me the idiot. I can buy the creamer in my local grocery store for under 4.00. So I will now only buy these products on sale at my local store. Thanks for showing loyalty doesn&#x27;t really matter. I also emailed them about this and got no response and left a comment on an instagram post. No one reached out proves they don&#x27;t care. Save your money buy local.,6542291796019,Blueberry Muffin Super Coffee,Blueberry Latte,Elizabeth S.,true,8
"Blueberry Latte caused me to lose sleep last night, not because I drank it too late in the day yesterday but because I was so excited to try it this morning. Wow! Blueberry Latte exceeded my expectations. With the sharp crack of the plastic as I twisted open the cap my mouth started to water. As I peeled off the aluminum seal of freshness my nose detected a faint smell of blueberries in the air and my excitement elevated. I lifted the bottle to my lips and the smooth and creamy coffee poured into my mouth coating my tastebuds with a sweet nectar they had never tasted before but immediately knew they couldn’t get enough. The taste profile of the blueberry latte is perfectly balanced between coffee and blueberry that is strong enough to enjoy but is in no was too much. It blows my mind that this flavor profile is created with ZERO sugar! It’s the perfect drink.",6542291796019,Blueberry Muffin Super Coffee,Blue my mind berry,Kevin S.,true,66
The most refreshing bottled coffee ever. It’s perfect for summer. I’m FEELING IT. Thank you Super Fam!,6542291796019,Blueberry Muffin Super Coffee,Beyond incredible!!,Ben K.,true,20
I love the Blueberry Latte but won&#x27;t be ordering again. I feel they charge too much money. I can buy super coffee in my local grocery store for 2.00 each when on sale. Also when I ordered the blueberry an offer showed up for super creamer for 7.99. Knowing they sell the creamer in a 3 pack I was under the impression I was getting a 3-pack for a special price. Who in their right mind would pay 7.99 for a container of cream? Apparently me the idiot. I can buy the creamer in my local grocery store for under 4.00. So I will now only buy these products on sale at my local store. Thanks for showing loyalty doesn&#x27;t really matter. I also emailed them about this and got no response and left a comment on an instagram post. No one reached out proves they don&#x27;t care. Save your money buy local.,6542291796019,Blueberry Muffin Super Coffee,Blueberry Latte,Elizabeth S.,true,8
Nice &quot;rich&quot; flavor!,4670729879603,Dark Roast Super Pods,Nice &quot;rich&quot; flavor!,Jean T.,true,2
Great!,4670729879603,Dark Roast Super Pods,Great!,Patti M.,true,1
"I’m actually here at work drinking your coffee right now as we speak. The flavor is good. It gives me energy. I love the hazelnut creamer, you don’t need to add any more sugar on the coffee for me it’s a light sweet that you need instead of pouring tons of sugar in it. You don’t need it.",4670729879603,Dark Roast Super Pods,I’m actually here at work,Nelson G.,true,1
Great tasting coffee pod with a great caffeine kick. It was a great surprise and it pairs great with the Super Creamer!!!,4658347409459,Maple Pumpkin Super Pods,Great taste and great kick,Brandon A.,true,144
I cannot even use them in my Keurig so they are useless for me. I also purchased the creamer which is terrible. It has a horrible aftertaste. The entire purchase was not at all what I was expecting unfortunately,4658347409459,Maple Pumpkin Super Pods,I cannot even use them,Jacki S.,true,4
This coffee smells like comfort food and tastes like Fall. LOVE it!,4658347409459,Maple Pumpkin Super Pods,This coffee smells like comfort,Lois K.,true,3
I thought I loved Super Coffee and then they came out with their vegan formulation....so stinking good. Love it.,4534977888307,Coconut Mocha Super Coffee,Love love love!!,Melony P.,true,109
This is an awesome drink. I feel the energy almost immediately after drinking this coffee. It tastes great and goes down smooth!,4534977888307,Coconut Mocha Super Coffee,Awesome,Adan E.,true,41
I have only found this item on line and was excited to try it. My two favorite flavors are chocolate and coconut. This product did not disappoint. So creamy and just the right balance between the two flavors.,4534977888307,Coconut Mocha Super Coffee,Coconut Mocha Super Coffee is my Favorite!,Tammy H.,true,19
Best flavored pod I have had! Usually the flavor doesn’t taste anything like it should with other flavor pods. This one actually tastes like chocolate.,4670731845683,Mocha Super Pods,Yum,Casey D.,true,20
Absolutely love it,4670731845683,Mocha Super Pods,Excellent Mocha flavor,Misty P.,true,1
Great coffee,4670731845683,Mocha Super Pods,Great coffee,Richard R.,true,1
