Product,Page,Rating,Reviews,Title,Name,Content
Blake Tote,https://www.rareform.com/collections/blake-tote,4.9,456,A New Obsession!,Patricia G.,"I just love these bags. They are unique and I love finding and using unique, clothes, accessories etc. The story is great to tell and they are made so sturdy!"
Zippered Blake Tote,https://www.rareform.com/collections/bt-zippered,5,33,Cute and durable!,Cindy,"Bought this a gift to my daughter, who lives in NYC, and she loves the versatility of it. High cuteness factor too!"
Mini Blake,https://www.rareform.com/collections/bt-mini,4.9,20,Perfect size and shape!,Michelle,"This is the best little tote! I needed something roomy enough to fit my wallet, keys, glasses, phone, and iPad without feeling overstuffed or like I was carrying a giant bag. The Mini Blake is lightweight, sturdy, and holds a lot! It's easy to clean, and I love the bright colors. "
Hudson Tote,https://www.rareform.com/collections/hudson-tote,4.9,29,Nice and roomy + Durable,Ginna,Love how big this size is with straps that seem sturdy as well so you can fill it to the brim (which I do using it for work). Knowing how durable the outside is also super comforting for day over day use.
Maya Tote,https://www.rareform.com/collections/maya,4.9,587,Super cute and functional,Sara S.,"Love my crossbody! The travel bag is awesome! Perfect size with a deep zip container that fits so much stuff. The little zipper pockets such a nice touch to store more things!




"
Cora Tote,https://www.rareform.com/collections/cora-tote,4.9,614,Great colors and sturdy.,Sandi,I was very excited to get the Cora bag. It was a super quick turn around from order to delivery! The colors are great and the fabric is sturdy. I love that I can wash the bottom easily. The interior pockets are good for organizing items.
Beck Cooler,https://www.rareform.com/collections/beck-cooler-bag,4.9,76,Excellent experience!,Teressa B.,"Great quality, great service! Arrived in 3 days! The color is brilliant and trendy! Can’t wait to order my next one. Such a unique concept! Thanks Rareform!"
Sierra Cooler Bag,https://www.rareform.com/collections/sierra-cooler-bag,5,1,Best cooler,Ryan L.,Love it! The colors are so summery! I can’t wait to fill it and go! Love the creativity and repurposed design!
Mini Weekender Duffle,https://www.rareform.com/collections/mini-weekender-duffle,4.8,332,Great Gym Bag,Jaye L.,Purchased for my son in law to be able to have a back up gym bag. He loves it! Thank you
Weekender,https://www.rareform.com/collections/weekender-duffle,4.9,625,Love this bag!!,Lela C.,"Workmanship is excellent , color is vibrant and it’s easy to clean the outside of it! I bought it to take on a trip involving lots of water and everything stayed dry!"
Union Duffle,https://www.rareform.com/collections/union-duffle,4.9,152,Union Duffle is a hit!,Janice L F.,I purchased this as a birthday gift for my granddaughter who turned 14. She thought everything about it was cool. She was especially excited to know that she got something no one else would have. I'm glad I purchased it and will be purchasing from Rareform again.
Charlie Pouch,https://www.rareform.com/collections/charlie,4.9,111,Great for quick trips!,Kacy,I love this little pouch! So easy to clean and everything is safe with the fleecey material inside!
Oliver Notebook,https://www.rareform.com/collections/oliver-notebook,4.5,4,Oliver Notebook,Tom B.,I received my Oliver Notebook the other day and eagerly opened it. I’ve been journaling for some time now and loved the size of the pages and the way the notebook stays open while writing. Of course the beautiful Rareform cover did not disappoint. I highly recommend.
Zion Sling Bag,https://www.rareform.com/collections/zion-sling-bag,4.9,125,Perfect travel companion,Meg B.,"Great size, love the ability to wear different ways. Perfect for a phone, some cash and cards and my passport while in Thailand!"
Roam Keychain,https://www.rareform.com/collections/roam-keychain,4.6,34,Great Keychain,Kathy,"Love this keychain. I am really attracted to the colors but it is also very handy. The clip makes is easy to attach and unattach the keychain to a beltloop or backpack other Rareform totes, of which I have a few."
Vienna Toiletry Bag,https://www.rareform.com/collections/vienna,4.9,127,Awesome!,Alyssa,"Love this toiletry bag! Material is waterproof and design is cool. Zip pocket, pouches, and hanger make it easy to keep things organized and it fits a lot of stuff!
"
Munich Toiletry Bag,https://www.rareform.com/collections/munich,4.8,80,Purposeful & Classy,Heather P.,Looks great & sturdy! Holds everything & leaks/spills clean up easily. Everyone on my gift list is getting one this year!!
Salvador Luggage Tag,https://www.rareform.com/collections/salvador,4.9,37,Really good quality and a stand out design,Lorraine,Love this luggage tag. It will be easy to spot when trying to find my luggage at the airport. I will have to buy one for my husband for Christmas in his favourite colour. No-one else will have the same one. The gift box is a nice touch.
