title,content,product_name,product_id,name,verified_buyer,votes_up
Super coffee,Love this coffee! Love new French vanilla. Love the taste and no sugar!!!,French Vanilla Super Coffee,4732625846323,Susan R.,TRUE,4
yum,haven't had the creamer yet (still have hazelnut left from last shipment) but the mocha cans are fantastic!!!,Plant-Based Power-Up,4721423056947,Lisa K.,TRUE,0
BEST GROUND COFFEE EVER!!!!,"THANK YOU for making an amazing product that tastes incredible and gives me more focused, healthy energy than ever before!",Super Coffee Ground Variety Pack,4700383739955,Jordan C.,TRUE,1
The Best Cold Brew Ever!,I love Super Coffee's Cold Brew Bold and Smooth. It's the best Cold Brew I have had.,Iced Perfecta,4721424826419,Shannon S.,TRUE,0
Amazing!!!,"This was such a great addition to my morning!!! I love the tastes and to think there are nutrition benefits also! Wow!
I’m hooked!!! Thank you!",Power Couple,4721423253555,Barbara O.,TRUE,1
GREAT PAIRING,Flavor is very good,Plant-Based & Chill,4721424629811,Tia P.,TRUE,0
My favorite!,"Nothing beats the sweet cream flavor! Smooth, creamy, and delicious!",Sweet Cream Super Coffee,4732626075699,Ashley K.,TRUE,3
Tastebuds prepare to explode,"This is just the best!! It’s so creamy, sweet but not too sweet, and gets my energy levels pumping! Keep doing your thing Super coffee Team!",Sweet Cream Super Coffee,4732626075699,Nicole R.,TRUE,3
Perfect Combination,The dark roast pod with the sweet cream creamer is my favorite combination. Right now it is my go-to morning coffee.,Pods ‘n’ Cream,4721423712307,Wendy N.,TRUE,0
I am obsessed with this coffee,"I have completely quit crappy coffee like Starbucks, Dunkin Donuts and Panera. When I try and drink it now it tastes gross and leaves me feeling like crap.",Variety Brews,4721424007219,Danielle G.,TRUE,2
Fantastic company and products! I,"Fantastic company and products! I look forward to my morning coffee. Hazelnut is my favorite but all the flavors are delicious, grateful for a plant based non- sugar bomb creamer.",Toasted Hazelnut Super Creamer,6568636579891,Mary S.,TRUE,0
Love it,"Great, healthy choice to start my morning.",Coffee Hall of Fame,4721377116211,Teresa B.,TRUE,3
New coffee addiction,"Super Coffee has to be the best flavored, energy packed coffee on the market. I used to have a Starbucks with espresso problem, and a daily Cafe Bustello/espresso coffee. But all are so heavy! Super Coffee is the best of all things COFFEE with a punch. Tastes amazing, energy boosts without jitters, and light on the stomach so you don&#x27;t feel overly full and weighed down. I could go on and ON!!! I&#x27;m so glad I found Super Coffee and have shared with all of my special diet friends from Gluten-free to Vegan and they are also impressed!!!!",Coffee Hall of Fame,4721377116211,Deanna W.,TRUE,2
Beyond incredible!!,The most refreshing bottled coffee ever. It’s perfect for summer. I’m FEELING IT. Thank you Super Fam!,Blueberry Muffin Super Coffee,6542291796019,Ben K.,TRUE,20
I’m actually here at work,I’m actually here at work drinking your coffee right now as we speak. The flavor is good. It gives me energy.,Dark Roast Super Pods,4670729879603,Nelson G.,TRUE,1
This coffee smells like comfort,This coffee smells like comfort food and tastes like Fall. LOVE it!,Maple Pumpkin Super Pods,4658347409459,Lois K.,TRUE,3
